age,gender,Mstatus,gradStud,trans,Flang ,Haddress,Hestatus,Plive,Fsize,Fsupport,Osupport,Medu,Fedu, Fjob,Mjob,Rclass,EIRR,PCGA,CCmember,OCmember,Mactivity,Dactivity,Aconsum,Efriend,Srec,Sother,Eresult,Hresult,Presult,gpa,tutor,Itutor,absent,Alab,Fread,Gstudy,Gwork,labInf ,IntUse,handout,refbook,lecture,internet,Edevice,advisor,uniInterest,progInterest,uniLike,deptLike
24-29,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,primary education,Farmer,Housewife,Friendly,Yes,Often,Often,Very often,Occasionally,Often,Medium,Medium,High,Very High,Less than 55,3.50- 4.00,400-449,3.50- 4.00,Yes,Yes,Sometimes,Usually,5_6 ,High,High,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Usually,Yes,Yes,No,Yes
24-29,Male,Married,No,Yes,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Low,Medium,Low,Medium,85 - 100,3.50- 4.00,600-649,3.50- 4.00,Yes,Yes,Sometimes,Always,7_8,Medium,Medium,No,Usually,Yes,No,Yes,Yes,Yes,Sometimes,No,Yes,neutral,Yes
20 – 23,Female,Single,Yes,No,Amharic,Urban,Good,Yes,small,Yes,No,Secondary education,Secondary education,Farmer,Housewife,Friendly,Yes,Never,Occasionally,Never,Often,Never,Low,Medium,Medium,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Sometimes,Always   ,3_4,Medium,Medium,No,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,neutral,Yes
20 – 23,Male,Separated,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Secondary education,Merchant,Merchant,Supportive,No,Occasionally,Often,Never,Never,Occasionally,Low,Low,Low,High,70-84,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Never,Sometimes,1_2 ,Low,Medium,Yes,Usually,No,No,Yes,No,Yes,Usually,Yes,Yes,neutral,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,No,No,Primary education,Primary education,Merchant,Housewife,Friendly,No,Never,Never,Never,Occasionally,Never,Low,Medium,High,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,No,No,Sometimes,Usually,3_4 ,Low,Medium,Yes,Sometimes,Yes,No,Yes,Yes,Yes,Never,No,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Supportive,No,Occasionally,Never,Often,Never,Never,Low,Low,Medium,Medium,70-84,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Usually,Sometimes,1_2 ,Low,Low,No,Always   ,Yes,Yes,Yes,Yes,Yes,Never,No,No,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Health care related,Merchant,Friendly,No,Never,Occasionally,Never,Very often,Often,Low,Medium,Medium,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Sometimes,Sometimes,5_6,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Never,No,No,Yes,Yes
20 – 23,Male,Married,No,No,Afaan Oromo,Rural,Good,Yes,medium,Yes,Yes,Secondary education,Higher education,Merchant,Housewife,Friendly,Yes,Occasionally,Never,Never,Never,Never,Medium,Medium,Medium,Medium,70-84,3.50- 4.00,400-449,3.50- 4.00,No,No,Sometimes,Never,>8   ,Medium,Medium,No,Usually,No,No,No,No,Yes,Never,No,No,No,No
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Occasionally,Never,Never,Medium,Medium,Medium,Low,70-84,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Sometimes,Usually,5_6,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,No,Yes
20 – 23,Male,Single,Yes,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Higher education,Teacher,Merchant,Friendly,Yes,Never,Never,Occasionally,Very often,Very often,Medium,High,High,Medium,70-84,3.00-3.49,400-449,2.50-2.99,No,No,Sometimes,Sometimes,3_4,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Never,No,No,neutral,No
20 – 23,Male,Single,No,Yes,Amharic,Rural,Good,Yes,large,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Supportive,No,Never,Never,Occasionally,Often,Occasionally,Medium,High,High,Medium,70-84,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Sometimes,Sometimes,5_6,Medium,Medium,No,Usually,Yes,No,No,No,Yes,Never,No,Yes,Yes,Yes
<=19,Male,Single,No,No,Amharic,Urban,Bad,Yes,medium,Yes,Yes,Higher education,Higher education,Merchant,Merchant,Friendly,Yes,Never,Occasionally,Never,Never,Occasionally,Low,Medium,Medium,Medium,85-100,3.50- 4.00,650 – 700,3.50- 4.00,Yes,Yes,Usually,Sometimes,3_4 ,Low,Medium,Yes,Never,No,Yes,No,No,No,Usually,Yes,No,Yes,Yes
24 – 29,Female,Single,Yes,No,Tigrigna,Urban,Bad,Yes,large,Yes,Yes,Higher education,Higher education,Merchant,Merchant,Friendly,Yes,Never,Never,Occasionally,Occasionally,Never,Low,Medium,Medium,Medium,70-84,2.50-2.99,400-449,3.00-3.49,Yes,Yes,Usually,Usually,3_4 ,Low,Low,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Separated,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Merchant,Teacher,Friendly,Yes,Never,Never,Occasionally,Often,Never,Medium,High,Medium,Medium,70-84,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Usually,Sometimes,3_4 ,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,Yes,Yes,neutral,neutral
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Secondary education,engineer,Teacher,Friendly,Yes,Occasionally,Never,Never,Often,Never,Medium,High,Medium,Low,70-84,3.50- 4.00,500-549,2.50-2.99,No,Yes,Sometimes,Never,1_2,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Usually,No,Yes,No,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,medium,No,No,Secondary education,Higher education,Teacher,Merchant,Friendly,No,Occasionally,Occasionally,Often,Occasionally,Occasionally,Low,High,High,Medium,70-84,3.00-3.49,350-399,3.00-3.49,No,Yes,Sometimes,Sometimes,1_2,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,neutral,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,No,medium,Yes,Yes,Primary education,Higher education,Education Office,Merchant,Friendly,No,Never,Never,Often,Often,Never,Low,High,Medium,Medium,85-100,3.50- 4.00,350-399,3.50- 4.00,Yes,Yes,Sometimes,Usually,1_2,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,No,Yes,Yes,Yes
20 – 23,Female,Single,No,Yes,Afaan Oromo,Rural,Bad,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,No,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Low,Medium,Medium,Low,70-84,3.00-3.49,400-449,3.00-3.49,No,Yes,Sometimes,Sometimes,1_2,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,No,not educated,Primary education,Farmer,Housewife,Friendly,Yes,Never,Often,Occasionally,Never,Never,Low,Medium,Medium,Medium,70-84,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Never,Usually,7_8,Medium,Medium,Yes,Usually,Yes,No,No,No,Yes,Sometimes,No,No,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,not educated,not educated,Farmer,Housewife,Friendly,No,Never,Never,Never,Never,Never,Medium,Low,Low,Low,70-84,3.50- 4.00,450-499,3.50- 4.00,Yes,No,Never,Usually,3_4,Medium,Medium,No,Sometimes,Yes,No,No,No,No,Usually,Yes,Yes,neutral,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Often,Often,,Never,Never,Low,Medium,Medium,Low,85-100,3.50- 4.00,450-499,3.50- 4.00,Yes,Yes,Never,Always   ,3_4,Medium,High ,Yes,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Married,No,No,Amharic,Rural,Good,Yes,medium,Yes,No,not educated,not educated,Farmer,Housewife,Friendly,,Never,Never,Occasionally,Never,Never,Low,Medium,Medium,Low,55-69,2.50-2.99,450-499,2.50-2.99,Yes,Yes,Never,Usually,3_4,Medium,Low,Yes,Sometimes,Yes,No,No,No,Yes,Usually,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Often,Never,Never,Never,Never,Low,Low,Medium,Low,55-69,3.50- 4.00,400-449,3.50- 4.00,No,Yes,Sometimes,Usually,3_4,Low,Low,Yes,Usually,Yes,No,No,No,Yes,Always ,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,large,Yes,Yes,not educated,Higher education,Health care related,Housewife,Friendly,No,Occasionally,Often,Often,Very often,Never,Low,Medium,Very High,Low,70-84,3.00-3.49,450-499,3.00-3.49,No,Yes,Sometimes,Sometimes,1_2,Medium,Medium,No,Always   ,No,Yes,No,No,Yes,Never,No,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,large,Yes,Yes,Primary education,Secondary education,Farmer,Housewife,Friendly,No,Often,Often,Very often,Very often,Never,Low,Low,Medium,Low,55-69,3.00-3.49,400-449,2.50-2.99,No,Yes,Always   ,Always   ,3_4,Medium,Medium,Yes,Always   ,No,No,Yes,No,No,Sometimes,Yes,Yes,neutral,neutral
